tg,fa
Ал Пачино,آل پاچینو
Ален Делон,آلن دلون
Амиша Пател,آمیشا پاتل
Нилак,نیلک
Ана Милан,آنا میلان
Эндрю Карнегӣ,اندرو کارنگی
Ҷонварон,جانوران
Ородон,اوریدین
Артур Ҳейлӣ,آرتور هیلی
Австралия,استرالیا
Aрмaндо Сaдику,آرماندو سادیکو
Би-би-сӣ,بی‌بی‌سی
Банглодеш,بنگلادش
Берлин,برلین
Биннур Кая,بیننور کایا
Сохтани як сохтмон,ساختن یک ساختمان
Бурак Дениз,بوراک دنیز
Бурҷу Бириҷик,بورجو بیریجیک
Синамои Амрикои Лотинӣ,سینمای آمریکای لاتین
Камерон Окасио,کامرون اوکاسیو
Канада,کانادا
Синамои Бразилия,سینمای برزیل
Блоки Шарқӣ,بلوک شرق
Ҷоми ҷаҳонии футбол 2018,جام جهانی فوتبال ۲۰۱۸
Димишқ,دمشق
Дака,داکا
Дарахти аждаҳо,درخت اژدها
Друпал,دروپال
Подшоҳии Афғонистон,پادشاهی افغانستان
Майкл Финк,مایکل فینک
Рӯзи истиқлоли Эстония,روز استقلال استونی
Хуан Алфонсо Баптиста,خوان آلفونسو باپتیستا
Фейсбук,فیس‌بوک
Падари ғурур,پدر غرور
Анҷир,انجیر
Франк-Валтер Штайнмайер,فرانک والتر اشتاین‌مایر
Мурғ,مرغ
Гурҷистон,گرجستان
Густаво Нобоа,گوستاوو نوبوا
Ритик Рошан,ریتیک روشن
Ҳугу Чавез,هوگو چاوز
Бонки Иттилоотии Интернетии Филмҳо,بانک اطلاعات اینترنتی فیلم‌ها
Иэн Макшейн,ایان مک‌شین
Забони итолиёӣ,زبان ایتالیایی
Иван Сергей,ایوان سرگئی
Ҷакарта,جاکارتا
Майкл Крайтон,مایکل کرایتون
Ҷон Эмиел,جان امیل
Қафқоз,قفقاز
Кобул,کابل
Катманду,کاتماندو
Кевин Ҳарт,کوین هارت
Номи ту,نام تو
Тупак Шакур,توپاک شکور
(238) Ҳипотиё,۲۳۸ هیپاتیا
Деҳгулон,دهگلان
Африкаанс,آفریکانس
Димпл Кападия,دیمپل کاپادیا
Дуа Липа,دوآ لیپا
Дуэйн Ҷонсон,دوئین جانسون
Омодагии электронӣ,آمادگی الکترونیکی
Эмрон Ҳашмӣ,عمران هاشمی
